name|reg|officials
Mallec, Dann L.|690|Board of Supervisors, PDS, DPW
Marks, Jordan|942|BOS, DA, Assessor/RecorderlClerk, Treasurer-Tax Collector, Sheriff's Department
Marston, Jeff|662|Board of Supervisors, Sheriff‘s Department
Martin, Bry J.|841|Board of Supervisors
Maxson, Ryan|1035|Greater San Diego Association of REALTORS
May, Justin|1001|Sheriff‘s Dept., Probation Dept. DAO, PDO, BOS, BHS, CAO, HHSA, PHS, DPC, SIA. CWS, OES, DGS
McDade, Kristen A.|703|Board of Supervisors
McDonald, Laura J.|753|Board of Supervisors
McGrady, Kyle|1026|BOS, Chief Investment Ofﬁcer, San Diego County Employees Retirement System
McHenry, Katherine|709|Board of Supervisors
McKinney, Adelaide|903|SDCERA
McManigal, Brent|990|Board of Supervisors, Planning Department
McPartland, Stephen J.|722|Board of Supervisors, Planning Comm, PDS, DPW
McShea, Sean F.|1031|San Diego County Employees Retirement Association
Mercurio, Michael T.|801|BOS, Planning Comm, AAB, Treasurer-Tax Collector, AssessoriRecorderlCIerk, PDS
Milch, James S.|758|Board of Supervisors
Molloy, Scott C.|827|BOS, PDS, CAO, Parks & Recs, Public Works
Monger, Jack|644|Board of Supervisors, APCDHB, BOS Reps., CAO, Asst. CAO
Monroig, Felipe|955|Board of Supervisors
Morrison Scott A.|738|Board of Supervisors, PDS, DPW, Parks 8:. Rec.
Mullen, Geoffrey G.|1032|San Diego County Employees Retirement Association
Murphy, Timothy J.|772|PDS. DPW
Naiman, Joe|797|Board of Supervisors, Sheriff‘s Department, AssessorlRecorderlClerk
Naji, Samer|973|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Navarro, Dominique|979|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Neils, Christopher|880|Board of Supervisors, Planning Commission, PDS, CAO
Nguyen, Khoa|876|Board of Superviscrs, Planning Commission, All Possible County Ofﬁces
Nguyen, Quynh|972|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Nielsen, David C.|704|Board of Supervisors
Nothoff, Robert|977|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing 8r. Contracting
Oettinger, Stephen R.|660|Board of Supervisors
Olson, Daniel|944|SDCERA
Osborne, John R.|683|Board of Supervisors, BOS Reps.
Packard, Scott|970|Board of Supervisors
Page, Crystal|978|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Parker, Joseph M.|967|Board of Supervisors
Pentico, Alan|771|Board of Supervisors, Treasurer-Tax Collector, Assessor/RecorderlClerk
Perkins, Douglas I|805|Board of Supervisors, Treasurer-Tax Collector
Peterson, Matthew A.|590|Board ofSupervisors, PDS
Peterson, Norma Chavez|931|Board of Supervisors, County Sheri ff's Department
Pham, Tenille|901|SDCERA
Picking, Faith|943|APCD
Polese, Don|1024|Board of Supervisors
Ponder, John E.|824|Board ofSupervisors, Planning Comm, PDS, BOS Reps., Assessor/RecorderiClerk
Pudgil, Darren|1005|Board of Supervisors
Puelz, Diana|1023|BOS, Board of Supervisors Staff, CAO, Director of Planning & Land Use
Purczynski, Jennifer|865|Board of Supervisors, BOS Reps., CAO, PDS
Purdy, Ryan|941|BOS, DA, AssessorlRecorderlClerk, Treasurer-Tax Collector, Sheriff‘s Department
Ramer, Kai E.|694|Board of Supervisors, PERB, PDS, BOS Reps.
Ramos, Isela|1033|Board of Supervisors, BOS Reps., District Atty., Assistant District Atty., CAO, Director of Purchasing & Contracting
Rath, Phil|868|All Possible County Ofﬁces
Reilly, James|1016|County Treasurer—Tax Collector
Riella, Janelle A.|840|BOS, Planning Comm, Assessor/RecorderlClerk, Treasurer-Tax Collector, PDS, AAB
Rivera, Gabriela|987|Board of Supervisors, Sheriff‘s Department, Ofﬁce of the District Attorney& CAO
Rodriguez, Joanne M.|859|Board of Supervisors
Rogers, Catherine Ellen|1014|Board of Supervisors
Rosenbaum, S. Wayne|921|BOS, Members of Planning Commission, BOS Representatives & PDS
Rupp III, Henry|788|BOS & Staff, PDS & Staff, Planning Commission & Staff, DPW Staff, CAO
Rush, Jason Bryce|792|Board of Supervisors, CAO, DPW
Russoniello, Kellen|994|Board of Supervisors, Sheriffs Department, Ofﬁce of the District Attorney, CAO
Ryan, Declan|875|County Treasurer—Tax Collector
Saathoff, Stephanie|696|BOS, County Assessor/RecorderlCIerk, Sheriffs Dept., Treasurer-Tax Collector, DA, Public Health Ofﬁcials
Schollmeyer, Edward|1017|County of San Diego Deferred Compensation Program
Silver, Daniel|725|Board of Supervisors, CAO, Asst. CAO, PDS, PERB, Planning Comm, BOS Reps.
Silverman, Stephen 1-1.|776|Board of Supervisors, Planning Comm, PDS
Smith, Peter B.|996|All Possible County Offices, BOS, Sheriff‘s Department, DA, Assessor! RecorderlCIerk, Treasurer-Tax Collector
Squire, Ruben|1010|San Diego County Employees Retirement System
Stallings, Valerie|831|Board of Supervisors
Steinke, Thomas F., Esq.|780|Board of Supervisors, Director of PDS
Stevens, Michael D.|843|Board of Supervisors
Stewart, lan|962|Board of Supervisors
Straub, Randy|963|Board of Supervisors
Stream, Theodore|885|Board of Supervisors
Thrush, Allison|887|San Diego County Employees Retirement Association
Trujillo, David|1019|Board of Supervisors, Sherriff’s Department, Ofﬁce of the District Attorney. CAO
Turner, Jarl|790|Board of Supervisors, PDS, Planning Comm, BOS Reps., DPW
Urtasun, Francisco Javier|828|Board of Supervisors
Vakili, Bardis|991|Board of Supervisors, Sheriffs Department, Ofﬁce of the District Attorney, CAO
Valenzuela, Claudia|1022|Board of Supervisors
Van Leer, Ann|858|BOS, PDS, Parks & Rec., CAO. General Services
Villegas, Pedro|1018|Board of Supervisors
Voorhees, Todd|1007|Board of Supervisors
Voorhis, Bart Van|911|All Possible County Ofﬁces
Wahl, A. Christopher|866|BOS, BOS Reps., BOS Staff, CAO & Directors of Planning and Land Use
Wainio, John|867|Board of Supervisors & Staff, PDS, HR, District Attorney, Sherriff’s Department
Waldeck, Kevin|937|County Treasurer-Tax Collector
Waring, James|951|Board of Supervisors
Whalen, James E.|736|Board of Supervisors, Director of PDS, BOS Reps., Planning Comm, Deputy CAO
Whelan, Pauline|1000|Sheriff‘s Dept., Probation Dept. District Attorney's Ofﬁce, Public Def., BOS, BHS, CAO, HHSA, PHS, DPC, SIA, CWS, DES, DGS
Whidden, Joel|986|Board of Supervisors, Treasurer-Tax Collector
Wolfsheimer, Louis M.|786|Board of Supervisors, PDS
Young. Renee|784|County Treasurer-Tax Collector
Ziegaus, Alan|815|BOS, Members of the Planning Commission, BOS Reps., Sheriff's Department
